# Image: fd1440-minix.img (1474560 bytes)
# RunResult: {"executed":107917,"reason":"halt-spin-exhausted"}
# Counts: {"instruction":107916,"int":314,"trap":311,"io":981,"memWrite":1072,"intService":1}

## Section 1: Final IDT state (read from memory after boot)
Vector | Offset | Segment | Linear
  INT  vec=13 from=9000:00fc AX=0202 BX=7800 CX=060b DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=060b DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=7c00 CX=060d DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=060d DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=8000 CX=060f DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=060f DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=8400 CX=0611 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0611 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=8800 CX=0601 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0601 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=8c00 CX=0603 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0603 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=9000 CX=0605 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0605 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=9400 CX=0607 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0607 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=9800 CX=0609 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0609 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=9c00 CX=060b DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=060b DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=a000 CX=060d DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=060d DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=a400 CX=060f DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=060f DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=a800 CX=0611 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0611 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=ac00 CX=0701 DX=0000
